date,value,buy,sell,
1658613600000,50.0,,,
1658617200000,50.0,,,
1658620800000,50.0,,,
1658624400000,50.0,,,
1658628000000,50.0,,,
1658631600000,50.0,,,
1658635200000,50.0,,,
1658638800000,50.0,,,
1658642400000,50.0,,,
1658646000000,50.0,,,
1658649600000,50.0,,,
1658653200000,50.0,,,
1658656800000,50.0,,,
1658660400000,50.0,,,
1658664000000,50.0,,,
1658667600000,50.0,,,
1658671200000,50.0,,,
1658674800000,50.0,,,
1658678400000,50.0,,,
1658682000000,50.0,,,
1658685600000,50.0,,,
1658689200000,50.0,,,
1658692800000,50.0,,,
1658696400000,50.0,,,
1658700000000,50.0,,,
1658703600000,50.0,,,
1658707200000,50.0,,,
1658710800000,50.0,,,
1658714400000,50.0,,,
1658718000000,50.0,,,
1658721600000,50.0,,,
1658725200000,50.0,,,
1658728800000,50.0,,,
1658732400000,50.0,,,
1658736000000,50.0,,,
1658739600000,50.0,,,
1658743200000,50.0,,,
1658746800000,50.0,,,
1658750400000,50.0,,,
1658754000000,50.0,,,
1658757600000,50.0,,,
1658761200000,50.0,,,
1658764800000,50.0,,,
1658768400000,50.0,,,
1658772000000,50.0,,,
1658775600000,50.0,,,
1658779200000,50.0,,,
1658782800000,50.0,,,
1658786400000,50.0,,,
1658790000000,50.0,,,
1658793600000,50.0,,,
1658797200000,50.0,,,
1658800800000,50.0,,,
1658804400000,50.0,,,
1658808000000,50.0,,,
1658811600000,50.0,,,
1658815200000,50.0,,,
1658818800000,50.0,,,
1658822400000,50.0,,,
1658826000000,50.0,,,
1658829600000,50.0,,,
1658833200000,50.0,,,
1658836800000,50.0,,,
1658840400000,50.0,,,
1658844000000,50.0,,,
1658847600000,50.0,,,
1658851200000,50.0,,,
1658854800000,50.0,,,
1658858400000,50.0,,,
1658862000000,50.0,,,
1658865600000,50.0,,,
1658869200000,50.0,,,
1658872800000,50.0,,,
1658876400000,50.0,,,
1658880000000,50.0,,,
1658883600000,50.0,,,
1658887200000,50.0,,,
1658890800000,50.0,,,
1658894400000,50.0,,,
1658898000000,50.0,,,
1658901600000,50.0,,,
1658905200000,50.0,,,
1658908800000,50.0,,,
1658912400000,50.0,,,
1658916000000,50.0,,,
1658919600000,50.0,,,
1658923200000,50.0,,,
1658926800000,50.0,,,
1658930400000,50.0,,,
1658934000000,50.0,,,
1658937600000,50.0,,,
1658941200000,50.0,,,
1658944800000,50.0,,,
1658948400000,50.0,,,
1658952000000,50.0,,,
1658955600000,50.0,,,
1658959200000,50.0,,,
1658962800000,50.0,,,
1658966400000,50.0,,,
1658970000000,50.0,,,
1658973600000,50.0,,,
1658977200000,50.0,,,
1658980800000,50.0,,,
1658984400000,50.0,,,
1658988000000,50.0,,,
1658991600000,50.0,,,
1658995200000,50.0,,,
1658998800000,50.0,,,
1659002400000,50.0,,,
1659006000000,50.0,,,
1659009600000,50.0,,,
1659013200000,50.0,,,
1659016800000,50.0,,,
1659020400000,50.0,,,
1659024000000,50.0,,,
1659027600000,50.0,,,
1659031200000,50.0,,,
1659034800000,50.0,,,
1659038400000,50.0,,,
1659042000000,50.0,,,
1659045600000,50.0,,,
1659049200000,50.0,,,
1659052800000,50.0,,,
1659056400000,50.0,,,
1659060000000,50.0,,,
1659063600000,50.0,,,
1659067200000,50.0,,,
1659070800000,50.0,,,
1659074400000,50.0,,,
1659078000000,50.0,,,
1659081600000,50.0,,,
1659085200000,50.0,,,
1659088800000,50.0,,,
1659092400000,50.0,,,
1659096000000,50.0,,,
1659099600000,50.0,,,
1659103200000,50.0,,,
1659106800000,50.0,,,
1659110400000,50.0,,,
1659114000000,50.0,,,
1659117600000,50.0,,,
1659121200000,50.0,,,
1659124800000,50.0,,,
1659128400000,50.0,,,
1659132000000,50.0,,,
1659135600000,50.0,,,
1659139200000,50.0,,,
1659142800000,50.0,,,
1659146400000,50.0,,,
1659150000000,50.0,,,
1659153600000,50.0,,,
1659157200000,50.0,,,
1659160800000,50.0,,,
